Index,Day,Month,Year,Type,Registration,Operator,Fatalities,Location,Country,Category
18667,17,JUN,1998,Boeing 737-322,N364UA,United Airlines,0,Denver Internati...,USA,A2
18668,18,JUN,1998,Swearingen SA226-TC Metro II,C-GQAL,Propair,11,Montreal-Mirabel...,Canada,A1
18669,19,JUN,1998,Cessna 500 Citation I,N41SH,JJU Aviation,0,Fishers Island-E...,USA,A1
18670,23,JUN,1998,Boeing 727,,Iberia,0,Valencia Airport...,Spain,H2
18671,25,JUN,1998,BAe 3212 Jetstream 32,LV-VEJ,LAER,0,Buenos Aires-Jor...,Argentina,A2
18672,26,JUN,1998,Beech 200 Super King Air,ZS-MSL,Federal Aviation - op.for UN,7,near Abidjan Airport ...,Cote d'Ivoire,A1
18673,26,JUN,1998,Lockheed L-100-30 Hercules,N402LC,Lynden Air Cargo,0,Hog River Airpor...,USA,A2
18674,27,JUN,1998,Let L-410UVP-E,S2-ADD,Air Parabat,0,near Dhaka,Bangladesh,A1
18675,27,JUN,1998,Lockheed SP-2H Neptune,N14835,Neptune Aviation Services,2,near Reserve -  NM,USA,A1
18676,28,JUN,1998,BN-2B-20 slander,G-BVYE,Britten-Norman,0,near Bucharest,Romania,A1
18677,2,JUL,1998,Dassault Falcon 900,N900CS,TAG Aviation USA,0,Hamilton Airport...,USA,A2
18678,8,JUL,1998,Antonov An-2T,RA-02823,Yakutsk ASK ROSTO,1,near Magan,Russia,A1
18679,13,JUL,1998,Ilyushin Il-76MD,UR-76424,ATI Aircompany,8,near Ra'sal-Khaymah,U.A.E.,A1
